incident_id,title,service,severity,team,status,assigned_engineer,created_at,resolved_at,duration_minutes,sla_target_minutes,sla_status,affected_users,root_cause,resolution_summary
INC-1108,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P3 - Medium,Data Engineering,Resolved,Dana W.,2026-08-02 01:36:00,2026-08-02 07:14:00,338.0,480,Compliant,32,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1087,Scheduled data warehouse sync job failure,Redis Cache Cluster,P1 - Critical,Core Backend,Resolved,Farah H.,2026-08-02 01:32:05,2026-08-02 02:14:05,42.0,30,Breached,1504,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1029,504 Gateway Timeout spike across REST endpoints,API Gateway,P4 - Low,Core Backend,Resolved,Carlos R.,2026-08-01 23:19:35,2026-08-02 16:10:35,1011.0,1440,Compliant,30,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1105,High replication lag on Postgres primary,Primary PostgreSQL DB,P2 - High,Payment & Billing,Resolved,Evan L.,2026-08-01 20:56:32,2026-08-01 21:55:32,59.0,120,Compliant,1115,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1019,Scheduled data warehouse sync job failure,Notification & Email Worker,P3 - Medium,Payment & Billing,Resolved,Bob K.,2026-08-01 20:37:54,2026-08-01 22:09:54,92.0,480,Compliant,98,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1042,Stripe webhook 429 rate limit errors,Payment Gateway,P3 - Medium,Core Backend,Resolved,Farah H.,2026-08-01 10:44:33,2026-08-01 16:33:33,349.0,480,Compliant,100,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1015,504 Gateway Timeout spike across REST endpoints,API Gateway,P1 - Critical,Payment & Billing,Resolved,George T.,2026-08-01 05:17:31,2026-08-01 05:34:31,17.0,30,Compliant,1332,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1021,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Data Engineering,Open,Alice M.,2026-07-31 21:26:28,,,480,Breached,138,Upstream catalog microservice thread pool exhaustion.,Investigation ongoing.
INC-1043,Stripe webhook 429 rate limit errors,Payment Gateway,P4 - Low,Core Backend,Resolved,Alice M.,2026-07-31 17:43:03,2026-08-01 13:41:03,1198.0,1440,Compliant,86,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1030,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P3 - Medium,Security & IAM,Resolved,George T.,2026-07-31 13:11:29,2026-07-31 15:11:29,120.0,480,Compliant,146,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1024,Checkout cart session sync delay during flash sale,Checkout Pipeline,P1 - Critical,Security & IAM,Resolved,Alice M.,2026-07-31 09:11:05,2026-07-31 10:10:05,59.0,30,Breached,4258,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1074,Scheduled data warehouse sync job failure,API Gateway,P3 - Medium,Security & IAM,Resolved,Evan L.,2026-07-31 08:02:08,2026-07-31 10:21:08,139.0,480,Compliant,87,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1102,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Data Engineering,Resolved,Alice M.,2026-07-31 06:16:18,2026-07-31 12:34:18,378.0,480,Compliant,83,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1097,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P1 - Critical,Core Backend,In Progress,Dana W.,2026-07-31 00:07:09,,,30,Breached,1114,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Investigation ongoing.
INC-1119,504 Gateway Timeout spike across REST endpoints,API Gateway,P2 - High,Platform Infra,Resolved,Dana W.,2026-07-30 20:44:25,2026-07-30 22:07:25,83.0,120,Compliant,2094,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1034,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P4 - Low,Core Backend,In Progress,Dana W.,2026-07-30 20:19:33,,,1440,Breached,120,JWKS signing certificate auto-rotation failed during midnight cron.,Investigation ongoing.
INC-1049,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P4 - Low,Data Engineering,Resolved,Farah H.,2026-07-30 20:05:46,2026-07-31 05:12:46,547.0,1440,Compliant,58,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1070,Minor styling asset 404 in admin dashboard,API Gateway,P3 - Medium,Payment & Billing,In Progress,Carlos R.,2026-07-30 15:37:02,,,480,Breached,10,CDN cache invalidation hash discrepancy on static frontend build.,Investigation ongoing.
INC-1053,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P2 - High,Platform Infra,Resolved,Dana W.,2026-07-30 12:33:28,2026-07-30 14:03:28,90.0,120,Compliant,3262,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1054,High replication lag on Postgres primary,Primary PostgreSQL DB,P4 - Low,Core Backend,Resolved,George T.,2026-07-30 03:30:52,2026-07-30 11:07:52,457.0,1440,Compliant,104,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1041,Scheduled data warehouse sync job failure,Checkout Pipeline,P3 - Medium,Data Engineering,Resolved,George T.,2026-07-29 16:31:34,2026-07-29 20:34:34,243.0,480,Compliant,66,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
